one_minus_t,purity
3.806182146072387695e-01,6.666666666666666297e-01
3.811202645301818848e-01,6.690647482014387970e-01
3.825032711029052734e-01,6.714285714285713746e-01
3.836215734481811523e-01,6.737588652482269236e-01
3.837980628013610840e-01,6.760563380281690016e-01
3.838812112808227539e-01,6.783216783216783341e-01
3.839151859283447266e-01,6.736111111111111605e-01
3.848451375961303711e-01,6.689655172413793149e-01
3.873479366302490234e-01,6.712328767123287854e-01
3.875508308410644531e-01,6.666666666666666297e-01
3.885412812232971191e-01,6.621621621621621712e-01
3.888651132583618164e-01,6.644295302013423221e-01
3.895172476768493652e-01,6.666666666666666297e-01
3.901628851890563965e-01,6.688741721854304378e-01
3.904545903205871582e-01,6.710526315789473450e-01
3.906567692756652832e-01,6.732026143790850181e-01
3.906925320625305176e-01,6.688311688311687764e-01
3.910107016563415527e-01,6.709677419354839190e-01
3.910762667655944824e-01,6.666666666666666297e-01
3.918059468269348145e-01,6.624203821656050595e-01
3.921437859535217285e-01,6.645569620253164445e-01
3.929519057273864746e-01,6.666666666666666297e-01
3.934014439582824707e-01,6.624999999999999778e-01
3.936068415641784668e-01,6.645962732919254989e-01
3.940632939338684082e-01,6.666666666666666297e-01
3.947189450263977051e-01,6.687116564417178166e-01
3.951290249824523926e-01,6.707317073170732113e-01
3.952997922897338867e-01,6.666666666666666297e-01
3.956075906753540039e-01,6.626506024096385783e-01
3.962356448173522949e-01,6.646706586826347518e-01
3.973367810249328613e-01,6.666666666666666297e-01
3.980402946472167969e-01,6.627218934911243142e-01
4.003405570983886719e-01,6.588235294117646967e-01
4.013544917106628418e-01,6.549707602339180923e-01
4.016643762588500977e-01,6.511627906976744651e-01
4.021331071853637695e-01,6.531791907514450379e-01
4.026257991790771484e-01,6.494252873563218786e-01
4.026930332183837891e-01,6.457142857142856851e-01
4.030613303184509277e-01,6.477272727272727071e-01
4.032850265502929688e-01,6.440677966101694407e-01
4.033108353614807129e-01,6.460674157303371024e-01
4.046038985252380371e-01,6.480446927374301502e-01
4.048984646797180176e-01,6.500000000000000222e-01
4.052835106849670410e-01,6.519337016574585641e-01
4.055668711662292480e-01,6.483516483516483797e-01
4.058900475502014160e-01,6.448087431693989569e-01
4.081427454948425293e-01,6.467391304347825942e-01
4.082484245300292969e-01,6.486486486486486847e-01
4.098697900772094727e-01,6.505376344086021279e-01
4.118367433547973633e-01,6.470588235294117974e-01
4.122037291526794434e-01,6.436170212765957022e-01
4.128333330154418945e-01,6.455026455026454668e-01
4.140448570251464844e-01,6.421052631578947345e-01
4.144136309623718262e-01,6.387434554973822065e-01
4.147804975509643555e-01,6.406250000000000000e-01
4.162218570709228516e-01,6.373056994818653287e-01
4.165050387382507324e-01,6.340206185567009989e-01
4.169918298721313477e-01,6.358974358974358587e-01
4.177927374839782715e-01,6.377551020408163129e-01
4.183498620986938477e-01,6.395939086294416542e-01
4.190486073493957520e-01,6.414141414141414366e-01
4.191718697547912598e-01,6.432160804020100597e-01
4.196071624755859375e-01,6.450000000000000178e-01
4.197306632995605469e-01,6.467661691542289093e-01
4.198402762413024902e-01,6.435643564356435808e-01
4.202632904052734375e-01,6.453201970443349644e-01
4.204303026199340820e-01,6.470588235294117974e-01
4.211378693580627441e-01,6.439024390243902607e-01
4.211549758911132812e-01,6.456310679611650949e-01
4.222271442413330078e-01,6.473429951690821138e-01
4.224406480789184570e-01,6.442307692307692735e-01
4.237838983535766602e-01,6.411483253588516895e-01
4.249835610389709473e-01,6.380952380952380487e-01
4.250584244728088379e-01,6.398104265402843049e-01
4.251059293746948242e-01,6.367924528301887044e-01
4.263591766357421875e-01,6.384976525821596249e-01
4.271032214164733887e-01,6.401869158878504829e-01
4.272048473358154297e-01,6.418604651162790331e-01
4.273891448974609375e-01,6.435185185185184897e-01
4.277892708778381348e-01,6.451612903225806273e-01
4.291437864303588867e-01,6.422018348623853568e-01
4.296776652336120605e-01,6.392694063926940284e-01
4.299260973930358887e-01,6.363636363636363535e-01
4.301902651786804199e-01,6.380090497737556099e-01
4.303245544433593750e-01,6.351351351351350871e-01
4.310594201087951660e-01,6.322869955156951161e-01
4.313711524009704590e-01,6.339285714285713969e-01
4.327192902565002441e-01,6.355555555555555403e-01
4.327579140663146973e-01,6.327433628318583914e-01
4.339414834976196289e-01,6.343612334801762564e-01
4.346047043800354004e-01,6.315789473684210176e-01
4.353458285331726074e-01,6.331877729257642251e-01
4.354054331779479980e-01,6.347826086956521729e-01
4.362587928771972656e-01,6.363636363636363535e-01
4.375418424606323242e-01,6.336206896551723755e-01
4.376444220542907715e-01,6.309012875536480491e-01
4.379591345787048340e-01,6.282051282051281937e-01
4.383384585380554199e-01,6.297872340425532123e-01
4.400786161422729492e-01,6.271186440677966045e-01
4.406816363334655762e-01,6.286919831223628519e-01
4.407906532287597656e-01,6.260504201680672232e-01
4.412479400634765625e-01,6.276150627615062483e-01
4.412941932678222656e-01,6.250000000000000000e-01
4.414736628532409668e-01,6.224066390041493868e-01
4.419595003128051758e-01,6.198347107438016979e-01
4.422708153724670410e-01,6.172839506172839164e-01
4.424008727073669434e-01,6.147540983606557541e-01
4.425011873245239258e-01,6.163265306122448495e-01
4.429959654808044434e-01,6.178861788617886486e-01
4.430167078971862793e-01,6.153846153846154188e-01
4.433310031890869141e-01,6.169354838709677491e-01
4.437082409858703613e-01,6.144578313253011848e-01
4.438068866729736328e-01,6.119999999999999885e-01
4.441928863525390625e-01,6.135458167330677393e-01
4.450239539146423340e-01,6.150793650793651146e-01
4.458447098731994629e-01,6.126482213438735336e-01
4.458720088005065918e-01,6.102362204724409711e-01
4.460274577140808105e-01,6.078431372549019107e-01
4.464768171310424805e-01,6.054687500000000000e-01
4.470774531364440918e-01,6.070038910505836105e-01
4.473268389701843262e-01,6.046511627906976383e-01
4.475898146629333496e-01,6.061776061776061875e-01
4.476850628852844238e-01,6.038461538461538103e-01
4.479593634605407715e-01,6.053639846743295028e-01
4.481807947158813477e-01,6.030534351145038219e-01
4.486177563667297363e-01,6.007604562737642873e-01
4.495685100555419922e-01,6.022727272727272929e-01
4.501844048500061035e-01,5.999999999999999778e-01
4.503391981124877930e-01,6.015037593984962072e-01
4.504208564758300781e-01,5.992509363295880354e-01
4.504805207252502441e-01,5.970149253731342753e-01
4.510852694511413574e-01,5.985130111524163965e-01
4.517647624015808105e-01,5.999999999999999778e-01
4.530237317085266113e-01,6.014760147601475593e-01
4.535893201828002930e-01,6.029411764705882026e-01
4.538379907608032227e-01,6.043956043956043578e-01
4.538694620132446289e-01,6.058394160583941979e-01
4.540182352066040039e-01,6.036363636363636376e-01
4.545540213584899902e-01,6.014492753623188470e-01
4.545849561691284180e-01,5.992779783393501480e-01
4.558566808700561523e-01,5.971223021582733326e-01
4.560089111328125000e-01,5.949820788530465476e-01
4.562269449234008789e-01,5.928571428571428603e-01
4.567303061485290527e-01,5.907473309608540779e-01
4.568505883216857910e-01,5.921985815602837100e-01
4.570212960243225098e-01,5.901060070671377833e-01
4.574287533760070801e-01,5.880281690140845008e-01
4.576452374458312988e-01,5.859649122807017996e-01
4.577604532241821289e-01,5.874125874125873947e-01
4.588789343833923340e-01,5.853658536585365502e-01
4.591360092163085938e-01,5.868055555555555802e-01
4.593123793601989746e-01,5.882352941176470784e-01
4.617262482643127441e-01,5.896551724137930606e-01
4.618139266967773438e-01,5.876288659793814650e-01
4.621122479438781738e-01,5.856164383561643927e-01
4.629063606262207031e-01,5.870307167235494505e-01
4.631434679031372070e-01,5.884353741496598511e-01
4.635268449783325195e-01,5.864406779661016644e-01
4.645228981971740723e-01,5.878378378378378288e-01
4.648749232292175293e-01,5.892255892255892080e-01
4.656172394752502441e-01,5.906040268456376197e-01
4.663907289505004883e-01,5.919732441471572404e-01
4.664170742034912109e-01,5.933333333333333792e-01
4.665230512619018555e-01,5.946843853820598103e-01
4.665268063545227051e-01,5.960264900662252119e-01
4.665806889533996582e-01,5.940594059405940319e-01
4.675316214561462402e-01,5.953947368421053099e-01
4.677795171737670898e-01,5.934426229508196204e-01
4.682981371879577637e-01,5.915032679738562171e-01
4.687681794166564941e-01,5.928338762214984126e-01
4.695579409599304199e-01,5.941558441558441039e-01
4.699214696884155273e-01,5.954692556634304523e-01
4.699455499649047852e-01,5.935483870967741549e-01
4.700758457183837891e-01,5.916398713826366285e-01
4.703338742256164551e-01,5.897435897435897578e-01
4.707280993461608887e-01,5.878594249201277711e-01
4.707320928573608398e-01,5.859872611464967962e-01
4.709294438362121582e-01,5.841269841269841612e-01
4.710329771041870117e-01,5.822784810126582222e-01
4.711799025535583496e-01,5.835962145110410448e-01
4.716550111770629883e-01,5.849056603773584717e-01
4.718961119651794434e-01,5.862068965517240882e-01
4.727589488029479980e-01,5.875000000000000222e-01
4.732973575592041016e-01,5.887850467289719170e-01
4.734075665473937988e-01,5.900621118012422395e-01
4.741310477256774902e-01,5.913312693498452566e-01
4.741446375846862793e-01,5.925925925925925597e-01
4.749758243560791016e-01,5.938461538461538014e-01
4.752195477485656738e-01,5.920245398773006373e-01
4.774900078773498535e-01,5.902140672782875130e-01
4.777927994728088379e-01,5.914634146341463117e-01
4.781981110572814941e-01,5.927051671732522786e-01
4.784141182899475098e-01,5.909090909090909394e-01
4.784405231475830078e-01,5.921450151057401357e-01
4.787722229957580566e-01,5.903614457831325435e-01
4.791067838668823242e-01,5.885885885885885349e-01
4.795395731925964355e-01,5.868263473053891843e-01
4.806262850761413574e-01,5.850746268656716875e-01
4.812510609626770020e-01,5.863095238095238360e-01
4.817253351211547852e-01,5.875370919881305332e-01
4.821254611015319824e-01,5.857988165680473314e-01
4.835976958274841309e-01,5.840707964601770108e-01
4.839950203895568848e-01,5.823529411764706287e-01
4.850687384605407715e-01,5.806451612903226200e-01
4.853568077087402344e-01,5.818713450292397615e-01
4.856023192405700684e-01,5.830903790087463845e-01
4.859870076179504395e-01,5.843023255813953876e-01
4.863397479057312012e-01,5.855072463768116187e-01
4.864866733551025391e-01,5.867052023121387405e-01
4.867199659347534180e-01,5.878962536023054630e-01
4.870654344558715820e-01,5.890804597701149170e-01
4.878869056701660156e-01,5.873925501432665230e-01
4.883208274841308594e-01,5.885714285714285232e-01
4.885182976722717285e-01,5.868945868945868449e-01
4.893350601196289062e-01,5.880681818181817677e-01
4.894306063652038574e-01,5.892351274787535065e-01
4.899755716323852539e-01,5.875706214689265794e-01
4.902074337005615234e-01,5.887323943661971759e-01
4.922353625297546387e-01,5.870786516853933046e-01
4.929286837577819824e-01,5.882352941176470784e-01
4.930202364921569824e-01,5.865921787709497126e-01
4.930248260498046875e-01,5.877437325905292553e-01
4.932269454002380371e-01,5.861111111111111382e-01
4.935638308525085449e-01,5.872576177285319110e-01
4.940118789672851562e-01,5.883977900552486151e-01
4.963120818138122559e-01,5.867768595041322754e-01
4.964635968208312988e-01,5.851648351648351953e-01
4.987218976020812988e-01,5.863013698630137327e-01
4.988566637039184570e-01,5.874316939890710243e-01
4.989687204360961914e-01,5.858310626702997181e-01
4.998007416725158691e-01,5.869565217391304879e-01
4.998997449874877930e-01,5.880758807588075676e-01
5.000399351119995117e-01,5.891891891891891664e-01
5.005828142166137695e-01,5.876010781671159311e-01
5.027322769165039062e-01,5.887096774193548709e-01
5.042283535003662109e-01,5.871313672922251481e-01
5.044857263565063477e-01,5.855614973262032175e-01
5.046231746673583984e-01,5.866666666666666696e-01
5.046836733818054199e-01,5.851063829787234161e-01
5.049610137939453125e-01,5.862068965517240882e-01
5.050386190414428711e-01,5.846560846560846514e-01
5.057876706123352051e-01,5.857519788918206238e-01
5.058680772781372070e-01,5.868421052631579427e-01
5.066277980804443359e-01,5.853018372703412409e-01
5.067983865737915039e-01,5.863874345549737743e-01
5.079634189605712891e-01,5.848563968668407664e-01
5.095061659812927246e-01,5.859375000000000000e-01
5.097669363021850586e-01,5.870129870129869865e-01
5.101801156997680664e-01,5.880829015544041249e-01
5.103031992912292480e-01,5.891472868217054737e-01
5.103490352630615234e-01,5.902061855670103219e-01
5.106108188629150391e-01,5.912596401028277215e-01
5.108007192611694336e-01,5.897435897435897578e-01
5.114209651947021484e-01,5.882352941176470784e-01
5.118582844734191895e-01,5.892857142857143016e-01
5.122888684272766113e-01,5.903307888040711937e-01
5.123732089996337891e-01,5.888324873096446588e-01
5.130676031112670898e-01,5.873417721518987555e-01
5.137531757354736328e-01,5.883838383838383423e-01
5.143075585365295410e-01,5.869017632241813054e-01
5.143398046493530273e-01,5.879396984924623037e-01
5.158796906471252441e-01,5.889724310776942584e-01
5.160001516342163086e-01,5.899999999999999689e-01
5.161352157592773438e-01,5.885286783042393832e-01
5.173995494842529297e-01,5.870646766169154152e-01
5.176297426223754883e-01,5.880893300248138944e-01
5.177458524703979492e-01,5.891089108910890770e-01
5.180338025093078613e-01,5.901234567901234573e-01
5.191910266876220703e-01,5.911330049261084296e-01
5.199381709098815918e-01,5.896805896805896730e-01
5.210001468658447266e-01,5.906862745098039325e-01
5.228561162948608398e-01,5.892420537897310462e-01
5.231558084487915039e-01,5.878048780487804548e-01
5.246295928955078125e-01,5.888077858880778059e-01
5.246403217315673828e-01,5.873786407766989903e-01
5.249080061912536621e-01,5.883777239709443441e-01
5.255411863327026367e-01,5.893719806763284552e-01
5.256694555282592773e-01,5.903614457831325435e-01
5.260163545608520508e-01,5.889423076923077094e-01
5.271513462066650391e-01,5.875299760191846632e-01
5.273436903953552246e-01,5.861244019138756034e-01
5.274164676666259766e-01,5.847255369928401336e-01
5.275764465332031250e-01,5.857142857142857428e-01
5.277833342552185059e-01,5.843230403800474537e-01
5.280861854553222656e-01,5.829383886255924407e-01
5.296244025230407715e-01,5.815602836879432136e-01
5.298659205436706543e-01,5.825471698113207086e-01
5.299950838088989258e-01,5.835294117647058521e-01
5.303866267204284668e-01,5.821596244131455045e-01
5.320893526077270508e-01,5.807962529274004471e-01
5.337856411933898926e-01,5.794392523364485514e-01
5.347715616226196289e-01,5.804195804195804165e-01
5.349146723747253418e-01,5.790697674418604501e-01
5.352007150650024414e-01,5.777262180974478412e-01
5.352103710174560547e-01,5.787037037037037202e-01
5.355687737464904785e-01,5.773672055427251371e-01
5.366625785827636719e-01,5.783410138248847865e-01
5.376020669937133789e-01,5.793103448275862544e-01
5.377628207206726074e-01,5.802752293577981835e-01
5.381040573120117188e-01,5.789473684210526550e-01
5.382050871849060059e-01,5.799086757990867813e-01
5.388928651809692383e-01,5.785876993166286786e-01
5.414524674415588379e-01,5.772727272727272707e-01
5.422955155372619629e-01,5.759637188208617253e-01
5.436295270919799805e-01,5.746606334841628527e-01
5.437254309654235840e-01,5.733634311512415538e-01
5.441357493400573730e-01,5.720720720720721131e-01
5.446753501892089844e-01,5.707865168539325573e-01
5.457023382186889648e-01,5.695067264573990817e-01
5.457866787910461426e-01,5.682326621923937671e-01
5.459213256835937500e-01,5.691964285714286031e-01
5.466955900192260742e-01,5.679287305122494578e-01
5.474721193313598633e-01,5.688888888888888884e-01
5.476965904235839844e-01,5.698447893569844602e-01
5.484824180603027344e-01,5.685840707964602281e-01
5.488393902778625488e-01,5.695364238410596247e-01
5.492820143699645996e-01,5.682819383259911650e-01
5.501340627670288086e-01,5.670329670329670169e-01
5.501709580421447754e-01,5.679824561403509220e-01
5.502496957778930664e-01,5.689277899343544442e-01
5.507221221923828125e-01,5.676855895196506463e-01
5.513414740562438965e-01,5.686274509803921351e-01
5.520616769790649414e-01,5.673913043478261420e-01
5.529304146766662598e-01,5.683297180043384023e-01
5.535936355590820312e-01,5.692640692640692501e-01
5.540139675140380859e-01,5.680345572354211781e-01
5.546057224273681641e-01,5.689655172413793371e-01
5.547521710395812988e-01,5.677419354838709742e-01
5.568391084671020508e-01,5.665236051502146042e-01
5.569968223571777344e-01,5.674518201284796115e-01
5.573307275772094727e-01,5.683760683760683552e-01
5.612484812736511230e-01,5.692963752665245458e-01
5.628502368927001953e-01,5.680851063829787106e-01
5.632733106613159180e-01,5.668789808917197304e-01
5.640442371368408203e-01,5.656779661016949623e-01
5.649597644805908203e-01,5.644820295983086211e-01
5.671489238739013672e-01,5.632911392405063333e-01
5.677345991134643555e-01,5.621052631578947745e-01
5.677423477172851562e-01,5.630252100840336116e-01
5.683713555335998535e-01,5.618448637316562078e-01
5.684585571289062500e-01,5.606694560669456262e-01
5.690355300903320312e-01,5.594989561586638516e-01
5.703478455543518066e-01,5.604166666666666741e-01
5.707547664642333984e-01,5.592515592515592271e-01
5.716421604156494141e-01,5.601659751037344481e-01
5.717820525169372559e-01,5.590062111801241684e-01
5.723845362663269043e-01,5.578512396694215170e-01
5.736837387084960938e-01,5.567010309278350721e-01
5.737994909286499023e-01,5.576131687242797952e-01
5.739153623580932617e-01,5.564681724845995658e-01
5.747981071472167969e-01,5.573770491803278215e-01
5.748902559280395508e-01,5.582822085889570518e-01
5.758215188980102539e-01,5.591836734693877986e-01
5.776419639587402344e-01,5.580448065173115868e-01
5.777121782302856445e-01,5.569105691056910334e-01
5.785447955131530762e-01,5.578093306288032238e-01
5.789325237274169922e-01,5.566801619433198178e-01
5.801115036010742188e-01,5.555555555555555802e-01
5.805407762527465820e-01,5.564516129032257563e-01
5.806760191917419434e-01,5.553319919517102354e-01
5.807346105575561523e-01,5.542168674698795261e-01
5.816793441772460938e-01,5.531062124248496970e-01
5.828256011009216309e-01,5.520000000000000462e-01
5.829060077667236328e-01,5.508982035928143839e-01
5.848094224929809570e-01,5.517928286852589181e-01
5.864740610122680664e-01,5.506958250497018259e-01
5.868573784828186035e-01,5.515873015873016261e-01
5.896153450012207031e-01,5.504950495049505399e-01
5.898476839065551758e-01,5.513833992094862024e-01
5.913156270980834961e-01,5.502958579881657153e-01
5.914416313171386719e-01,5.492125984251968740e-01
5.920996665954589844e-01,5.481335952848722659e-01
5.932078957557678223e-01,5.490196078431373028e-01
5.943381786346435547e-01,5.479452054794520244e-01
5.943616032600402832e-01,5.488281250000000000e-01
5.956737399101257324e-01,5.477582846003898887e-01
5.958747863769531250e-01,5.486381322957198936e-01
5.959602594375610352e-01,5.475728155339806280e-01
5.959956645965576172e-01,5.484496124031007502e-01
5.975611209869384766e-01,5.493230174081238371e-01
5.981847047805786133e-01,5.482625482625482771e-01
5.996168255805969238e-01,5.491329479768786159e-01
6.014977693557739258e-01,5.500000000000000444e-01
6.016008853912353516e-01,5.489443378119002181e-01
6.024742126464843750e-01,5.498084291187739225e-01
6.037267446517944336e-01,5.506692160611854625e-01
6.038656234741210938e-01,5.515267175572519109e-01
6.047691106796264648e-01,5.504761904761904523e-01
6.058359146118164062e-01,5.494296577946767846e-01
6.059554815292358398e-01,5.483870967741935054e-01
6.069658994674682617e-01,5.473484848484848619e-01
6.086778640747070312e-01,5.482041587901701485e-01
6.108704805374145508e-01,5.490566037735848948e-01
6.111322641372680664e-01,5.480225988700564432e-01
6.122403740882873535e-01,5.469924812030074746e-01
6.123179793357849121e-01,5.459662288930581253e-01
6.125484704971313477e-01,5.468164794007490670e-01
6.131842136383056641e-01,5.476635514018691753e-01
6.134973168373107910e-01,5.466417910447761708e-01
6.157463192939758301e-01,5.456238361266294579e-01
6.158041954040527344e-01,5.464684014869888307e-01
6.162186264991760254e-01,5.454545454545454142e-01
6.167675256729125977e-01,5.444444444444443976e-01
6.179201602935791016e-01,5.452865064695009423e-01
6.191540956497192383e-01,5.442804428044279996e-01
6.194359064102172852e-01,5.451197053406998672e-01
6.222032308578491211e-01,5.441176470588234837e-01
6.228588819503784180e-01,5.431192660550459017e-01
6.261227130889892578e-01,5.421245421245420859e-01
6.268593072891235352e-01,5.411334552102377016e-01
6.301267743110656738e-01,5.401459854014598605e-01
6.310111284255981445e-01,5.409836065573770947e-01
6.324842572212219238e-01,5.418181818181818654e-01
6.324914693832397461e-01,5.408348457350272698e-01
6.329729557037353516e-01,5.398550724637680709e-01
6.333487033843994141e-01,5.406871609403255396e-01
6.334589719772338867e-01,5.415162454873646558e-01
6.336007714271545410e-01,5.405405405405405705e-01
6.348882913589477539e-01,5.395683453237409832e-01
6.350353956222534180e-01,5.385996409335727098e-01
6.383183598518371582e-01,5.376344086021505042e-01
6.390979290008544922e-01,5.366726296958854725e-01
6.394640803337097168e-01,5.374999999999999778e-01
6.408574581146240234e-01,5.383244206773618590e-01
6.431775093078613281e-01,5.373665480427046726e-01
6.447390317916870117e-01,5.364120781527531578e-01
6.449621319770812988e-01,5.354609929078014696e-01
6.458129882812500000e-01,5.362831858407079988e-01
6.467376351356506348e-01,5.371024734982332571e-01
6.553419828414916992e-01,5.379188712522046112e-01
6.556563377380371094e-01,5.387323943661971315e-01
6.573449969291687012e-01,5.377855887521968414e-01
6.573892235755920410e-01,5.385964912280701844e-01
6.576864719390869141e-01,5.394045534150613275e-01
6.596763134002685547e-01,5.384615384615384359e-01
6.616560220718383789e-01,5.375218150087259783e-01
6.642346382141113281e-01,5.383275261324041994e-01
6.653597950935363770e-01,5.373913043478261153e-01
6.676998138427734375e-01,5.381944444444444198e-01
6.682378053665161133e-01,5.389948006932409053e-01
6.719703674316406250e-01,5.397923875432526497e-01
6.799800395965576172e-01,5.388601036269430322e-01
6.801027059555053711e-01,5.379310344827585855e-01
6.809725761413574219e-01,5.387263339070568202e-01
6.811878681182861328e-01,5.378006872852233444e-01
