fpr,tpr  # AUC=0.660826
4.477611940298507204e-02,1.481481481481481399e-01
4.477611940298507204e-02,1.512345679012345734e-01
4.776119402985074675e-02,1.512345679012345734e-01
4.776119402985074675e-02,1.543209876543209791e-01
4.776119402985074675e-02,1.574074074074074125e-01
4.776119402985074675e-02,1.604938271604938183e-01
5.074626865671641451e-02,1.604938271604938183e-01
5.074626865671641451e-02,1.635802469135802517e-01
5.373134328358208922e-02,1.635802469135802517e-01
5.373134328358208922e-02,1.666666666666666574e-01
5.671641791044776393e-02,1.666666666666666574e-01
5.970149253731343170e-02,1.666666666666666574e-01
6.268656716417909947e-02,1.666666666666666574e-01
6.567164179104477417e-02,1.666666666666666574e-01
6.567164179104477417e-02,1.697530864197530909e-01
6.865671641791044888e-02,1.697530864197530909e-01
7.164179104477612359e-02,1.697530864197530909e-01
7.164179104477612359e-02,1.728395061728394966e-01
7.462686567164178442e-02,1.728395061728394966e-01
7.462686567164178442e-02,1.759259259259259300e-01
7.462686567164178442e-02,1.790123456790123357e-01
7.462686567164178442e-02,1.820987654320987692e-01
7.462686567164178442e-02,1.851851851851851749e-01
7.462686567164178442e-02,1.882716049382716084e-01
7.462686567164178442e-02,1.913580246913580141e-01
7.761194029850745912e-02,1.913580246913580141e-01
8.059701492537313383e-02,1.913580246913580141e-01
8.059701492537313383e-02,1.944444444444444475e-01
8.358208955223880854e-02,1.944444444444444475e-01
8.656716417910448325e-02,1.944444444444444475e-01
8.656716417910448325e-02,1.975308641975308532e-01
8.656716417910448325e-02,2.006172839506172867e-01
8.656716417910448325e-02,2.037037037037036924e-01
8.955223880597014408e-02,2.037037037037036924e-01
8.955223880597014408e-02,2.067901234567901259e-01
8.955223880597014408e-02,2.098765432098765316e-01
8.955223880597014408e-02,2.129629629629629650e-01
9.253731343283581878e-02,2.129629629629629650e-01
9.253731343283581878e-02,2.160493827160493707e-01
9.552238805970149349e-02,2.160493827160493707e-01
9.552238805970149349e-02,2.191358024691358042e-01
9.552238805970149349e-02,2.222222222222222099e-01
9.552238805970149349e-02,2.253086419753086433e-01
9.552238805970149349e-02,2.283950617283950490e-01
9.552238805970149349e-02,2.314814814814814825e-01
9.850746268656716820e-02,2.314814814814814825e-01
1.014925373134328290e-01,2.314814814814814825e-01
1.014925373134328290e-01,2.345679012345678882e-01
1.014925373134328290e-01,2.376543209876543217e-01
1.014925373134328290e-01,2.407407407407407274e-01
1.014925373134328290e-01,2.438271604938271608e-01
1.014925373134328290e-01,2.469135802469135665e-01
1.044776119402985037e-01,2.469135802469135665e-01
1.044776119402985037e-01,2.500000000000000000e-01
1.074626865671641784e-01,2.500000000000000000e-01
1.074626865671641784e-01,2.530864197530864335e-01
1.104477611940298531e-01,2.530864197530864335e-01
1.104477611940298531e-01,2.561728395061728669e-01
1.134328358208955279e-01,2.561728395061728669e-01
1.164179104477611887e-01,2.561728395061728669e-01
1.194029850746268634e-01,2.561728395061728669e-01
1.223880597014925381e-01,2.561728395061728669e-01
1.223880597014925381e-01,2.592592592592592449e-01
1.253731343283581989e-01,2.592592592592592449e-01
1.283582089552238736e-01,2.592592592592592449e-01
1.283582089552238736e-01,2.623456790123456783e-01
1.283582089552238736e-01,2.654320987654321118e-01
1.283582089552238736e-01,2.685185185185185452e-01
1.313432835820895483e-01,2.685185185185185452e-01
1.313432835820895483e-01,2.716049382716049232e-01
1.313432835820895483e-01,2.746913580246913567e-01
1.313432835820895483e-01,2.777777777777777901e-01
1.313432835820895483e-01,2.808641975308642236e-01
1.343283582089552231e-01,2.808641975308642236e-01
1.373134328358208978e-01,2.808641975308642236e-01
1.373134328358208978e-01,2.839506172839506015e-01
1.373134328358208978e-01,2.870370370370370350e-01
1.373134328358208978e-01,2.901234567901234684e-01
1.373134328358208978e-01,2.932098765432099019e-01
1.373134328358208978e-01,2.962962962962962798e-01
1.373134328358208978e-01,2.993827160493827133e-01
1.402985074626865725e-01,2.993827160493827133e-01
1.432835820895522472e-01,2.993827160493827133e-01
